Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,YD2600BBAFBOX,AMD,Ryzen 5 2600,201,76.4,682921,https://cpu.userbenchmark.com/AMD-Ryzen-5-2600/Rating/3955
CPU,,Intel,Core i7 X 980,202,76.3,6619,https://cpu.userbenchmark.com/SpeedTest/1822/IntelR-CoreTM-i7-CPU-------X-980----333GHz
CPU,CL8068403373614,Intel,Core i5-8400H,203,76.3,1010,https://cpu.userbenchmark.com/SpeedTest/524256/IntelR-CoreTM-i5-8400H-CPU---250GHz
CPU,BX80684I38100,Intel,Core i3-8100,204,76.2,106854,https://cpu.userbenchmark.com/Intel-Core-i3-8100/Rating/3942
CPU,,Intel,Xeon E3-1270 v3,205,76.2,755,https://cpu.userbenchmark.com/SpeedTest/11395/IntelR-XeonR-CPU-E3-1270-v3---350GHz
CPU,YD180XBCAEWOF,AMD,Ryzen 7 1800X,206,76.1,85703,https://cpu.userbenchmark.com/AMD-Ryzen-7-1800X/Rating/3916
CPU,FH8067703417418,Intel,Core i7-8706G,207,76.1,183,https://cpu.userbenchmark.com/SpeedTest/518066/IntelR-CoreTM-i7-8706G-CPU---310GHz
CPU,,Intel,Core i7-5850HQ,208,76.1,52,https://cpu.userbenchmark.com/SpeedTest/35099/IntelR-CoreTM-i7-5850HQ-CPU---270GHz
CPU,,AMD,Ryzen 7 5800U,209,76,192,https://cpu.userbenchmark.com/SpeedTest/1433044/AMD-Ryzen-7-5800U-with-Radeon-Graphics
CPU,CL8068403805708,Intel,Core i9-8950HK,210,76,12375,https://cpu.userbenchmark.com/SpeedTest/486215/IntelR-CoreTM-i9-8950HK-CPU---290GHz
CPU,100-100000284BOX,AMD,Ryzen 3 3100,211,76,37816,https://cpu.userbenchmark.com/SpeedTest/1148404/AMD-Ryzen-3-3100-4-Core-Processor
CPU,YD190XA8AEWOF,AMD,Ryzen TR 1900X,212,75.8,5304,https://cpu.userbenchmark.com/SpeedTest/340638/AMD-Ryzen-Threadripper-1900X-8-Core-Processor
CPU,,Intel,Xeon X5690,213,75.8,4034,https://cpu.userbenchmark.com/SpeedTest/16752/IntelR-XeonR-CPU-----------X5690----347GHz
CPU,BX80646I74771,Intel,Core i7-4771,214,75.8,10138,https://cpu.userbenchmark.com/Intel-Core-i7-4771/Rating/2008
CPU,CM8068403358913,Intel,Core i5-8400T,215,75.7,3500,https://cpu.userbenchmark.com/SpeedTest/475176/IntelR-CoreTM-i5-8400T-CPU---170GHz
CPU,,AMD,Ryzen 7 4800U,216,75.6,1375,https://cpu.userbenchmark.com/SpeedTest/1005639/AMD-Ryzen-7-4800U-with-Radeon-Graphics
CPU,YD192XA8AEWOF,AMD,Ryzen TR 1920X,217,75.5,8825,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1920X/Rating/3934
CPU,100-000000083,AMD,Ryzen 7 4700U,218,75.5,14813,https://cpu.userbenchmark.com/SpeedTest/1105478/AMD-Ryzen-7-4700U-with-Radeon-Graphics
CPU,,Intel,Core i7 980,219,75.5,2042,https://cpu.userbenchmark.com/SpeedTest/3336/IntelR-CoreTM-i7-CPU---------980----333GHz
CPU,BX80646E31241V3,Intel,Xeon E3-1241 v3,220,75.5,3273,https://cpu.userbenchmark.com/SpeedTest/15164/IntelR-XeonR-CPU-E3-1241-v3---350GHz
CPU,BX80637I53570K,Intel,Core i5-3570K,221,75.5,166311,https://cpu.userbenchmark.com/Intel-Core-i5-3570K/Rating/1316
CPU,,Intel,Core i5-4670,222,75.5,43616,https://cpu.userbenchmark.com/SpeedTest/630/IntelR-CoreTM-i5-4670-CPU---340GHz
CPU,BX80662I76700,Intel,Core i7-6700,223,75.4,245629,https://cpu.userbenchmark.com/Intel-Core-i7-6700/Rating/3515
CPU,BX80646I74770,Intel,Core i7-4770,224,75.4,149350,https://cpu.userbenchmark.com/Intel-Core-i7-4770/Rating/1978
CPU,BX80677I57600T,Intel,Core i5-7600T,225,75.4,353,https://cpu.userbenchmark.com/SpeedTest/246226/IntelR-CoreTM-i5-7600T-CPU---280GHz
CPU,BX80623I72700K,Intel,Core i7-2700K,226,75.3,19373,https://cpu.userbenchmark.com/Intel-Core-i7-2700K/Rating/1985
CPU,BX80646E31231V3,Intel,Xeon E3-1231 v3,227,75.2,16022,https://cpu.userbenchmark.com/SpeedTest/11040/IntelR-XeonR-CPU-E3-1231-v3---340GHz
CPU,YD299XAZAFWOF,AMD,Ryzen TR 2990WX,228,75.2,2370,https://cpu.userbenchmark.com/SpeedTest/560423/AMD-Ryzen-Threadripper-2990WX-32-Core-Processor
CPU,,Intel,Core i5-2550K,229,75.2,2472,https://cpu.userbenchmark.com/SpeedTest/5474/IntelR-CoreTM-i5-2550K-CPU---340GHz
CPU,BX80677I57500,Intel,Core i5-7500,230,75.1,136964,https://cpu.userbenchmark.com/Intel-Core-i5-7500/Rating/3648
